st_id,pr_sku_id,date,pr_sales_type_id,pr_sales_in_units,pr_promo_sales_in_units,pr_sales_in_rub,pr_promo_sales_in_rub
42a0e188f5033bc65bf8d78622277c4e,5aa2f6e00873f8c90b00cd15d670daa1,7/18/2023,0,4,0,295,0
42a0e188f5033bc65bf8d78622277c4e,4115bc05a3e5460e3bba7777fde0f807,7/5/2023,1,1,1,181,181
53e19f3dbb211f20b20b45668303c1b6,c7e043e0f743476582f79ba27ba3c51f,7/9/2023,0,3,0,49,0
42a0e188f5033bc65bf8d78622277c4e,0e497d3dfb10dc402fbe06de4e0bb233,7/7/2023,0,2,0,322,0
42a0e188f5033bc65bf8d78622277c4e,edaab5209d66e9634a79a8f23fb55bab,7/11/2023,0,3,0,903,0
42a0e188f5033bc65bf8d78622277c4e,bb25f17188f499220de29c84be3d7d5d,7/6/2023,0,3,0,316,0
42a0e188f5033bc65bf8d78622277c4e,db54d9d5b110c3a457bf89559b6f89a6,7/12/2023,1,1,1,35,35
42a0e188f5033bc65bf8d78622277c4e,f152516615efd05cf4b4903b03d4a45d,7/5/2023,1,6,6,755,755
42a0e188f5033bc65bf8d78622277c4e,98036217e9945a2747e3f1b8d74d811a,7/12/2023,0,2,0,147,0
42a0e188f5033bc65bf8d78622277c4e,ed9fea5c1775ffdc57624195eddfc671,7/7/2023,0,1,0,161,0
42a0e188f5033bc65bf8d78622277c4e,db01afba1fbd4cb3686884a7dfe125c9,7/5/2023,1,2,2,384,384
42a0e188f5033bc65bf8d78622277c4e,2a072dd33174b678fe0749c2cabcb3e6,7/14/2023,0,1,0,32,0
42a0e188f5033bc65bf8d78622277c4e,194adbcaa46104c43d41ad4f23c18407,7/17/2023,0,4,0,121,0
42a0e188f5033bc65bf8d78622277c4e,c97c8aa3371b07d86d8bd2b7384baf5d,7/14/2023,0,1,0,71,0
42a0e188f5033bc65bf8d78622277c4e,0a68dd43c227b0e66d52665d6c3ca8ba,7/14/2023,1,39,39,5288,5288
42a0e188f5033bc65bf8d78622277c4e,9f1375dbf6a782875618aa06f7523bea,7/17/2023,0,3,0,123,0
42a0e188f5033bc65bf8d78622277c4e,4a1167f2c6700c1ab5e2435a2ff300e7,7/12/2023,0,3,0,517,0
42a0e188f5033bc65bf8d78622277c4e,029905c5542302a69b170c91e96f5a14,7/18/2023,0,2,0,219,0
53e19f3dbb211f20b20b45668303c1b6,48e0c6769ad81d409a06471678920e2b,7/6/2023,1,1,1,107,107
42a0e188f5033bc65bf8d78622277c4e,c54dd67ddb268f5574dc35f360e10e87,7/14/2023,0,2,0,216,0
42a0e188f5033bc65bf8d78622277c4e,41b4a9b8eee848e2bb335d914128ddc4,7/14/2023,0,3,0,1071,0
42a0e188f5033bc65bf8d78622277c4e,6464ba75236f5928023d75e46ea8a328,7/16/2023,0,2,0,1693,0
42a0e188f5033bc65bf8d78622277c4e,699dc7822b719137e8124b728ab45fa3,7/16/2023,1,1,1,129,129
42a0e188f5033bc65bf8d78622277c4e,ea6de4810826c67374a5d37eef4a4b78,7/15/2023,0,4,0,121,0
42a0e188f5033bc65bf8d78622277c4e,f165b731ecfaac92a2f7ba92d07ccdaa,7/7/2023,1,7,7,1422,1422
42a0e188f5033bc65bf8d78622277c4e,7454973f4428e8a3426bb3c01e007104,7/10/2023,0,1,0,46,0
53e19f3dbb211f20b20b45668303c1b6,c82dccf4ccf7017ba622a86f5dcbc736,7/15/2023,0,1,0,207,0
42a0e188f5033bc65bf8d78622277c4e,310a498d257e79d326aa25c1d47340cf,7/10/2023,1,1,1,197,197
42a0e188f5033bc65bf8d78622277c4e,ce429dec957b9d6f3658eaa343fc40f0,7/15/2023,1,6,6,1545,1545
42a0e188f5033bc65bf8d78622277c4e,b7ef3f85be23f591802b735971941c77,7/17/2023,0,1,0,79,0
42a0e188f5033bc65bf8d78622277c4e,ce429dec957b9d6f3658eaa343fc40f0,7/16/2023,1,3,3,625,625
42a0e188f5033bc65bf8d78622277c4e,d5bfeecaaa47887a4b92d17fa55c2e18,7/8/2023,0,40,0,215,0
42a0e188f5033bc65bf8d78622277c4e,b0c43793e79b65eae859453fb8b58f6b,7/18/2023,0,1,0,168,0
42a0e188f5033bc65bf8d78622277c4e,71fe24c214f9fe26ad0f2b02f03e3878,7/12/2023,1,1,1,112,112
42a0e188f5033bc65bf8d78622277c4e,cfb54b1ce12bb3f9b6b9e2ea0b57414b,7/16/2023,0,2,0,451,0
42a0e188f5033bc65bf8d78622277c4e,225de5ef23fbfa96f02a8e1e8626ab66,7/13/2023,1,1,1,148,148
42a0e188f5033bc65bf8d78622277c4e,a5dd747c3e76dcf7c846d5cda73ded24,7/14/2023,0,3,0,382,0
42a0e188f5033bc65bf8d78622277c4e,480b52fec90d07da477f6d10f638eb1a,7/13/2023,1,1,1,195,195
42a0e188f5033bc65bf8d78622277c4e,1566bfacbcf0c0a3e7c92e73c708d341,7/12/2023,0,2,0,92,0
42a0e188f5033bc65bf8d78622277c4e,32cfba8a13694631a8418e4d246e55fa,7/6/2023,0,0,0,96,0
42a0e188f5033bc65bf8d78622277c4e,e9e9c55a9acf6e9421db2863f2e4da2f,7/10/2023,1,3,3,201,201
42a0e188f5033bc65bf8d78622277c4e,67dcedaa1090d67cef7afe3fb36945b0,7/14/2023,0,6,0,1008,0
42a0e188f5033bc65bf8d78622277c4e,67dcedaa1090d67cef7afe3fb36945b0,7/7/2023,0,2,0,268,0
42a0e188f5033bc65bf8d78622277c4e,a1f93a1aeb02759147d69276c70217db,7/10/2023,0,1,0,178,0
42a0e188f5033bc65bf8d78622277c4e,c24c65259d90ed4a19ab37b6fd6fe716,7/11/2023,1,3,3,482,482
42a0e188f5033bc65bf8d78622277c4e,edaab5209d66e9634a79a8f23fb55bab,7/13/2023,1,1,1,159,159
42a0e188f5033bc65bf8d78622277c4e,02713435f3587e2c81d8f6a9016763ea,7/13/2023,1,1,1,219,219
42a0e188f5033bc65bf8d78622277c4e,4a1167f2c6700c1ab5e2435a2ff300e7,7/11/2023,0,3,0,551,0
42a0e188f5033bc65bf8d78622277c4e,6bebdb943dc661b7af1e9469a8caeb3f,7/7/2023,0,0,0,50,0
42a0e188f5033bc65bf8d78622277c4e,433ed55e99dbd60e37ab7f291ee25770,7/15/2023,0,2,0,428,0
42a0e188f5033bc65bf8d78622277c4e,d362736d288d6997016766bfdf846693,7/7/2023,1,1,1,107,107
42a0e188f5033bc65bf8d78622277c4e,71fe24c214f9fe26ad0f2b02f03e3878,7/9/2023,1,1,1,112,112
42a0e188f5033bc65bf8d78622277c4e,970172adc8a7cd614803141527131fd6,7/8/2023,0,3,0,592,0
42a0e188f5033bc65bf8d78622277c4e,eaf90ea9a5c3866af372589e011d4242,7/6/2023,0,1,0,225,0
42a0e188f5033bc65bf8d78622277c4e,5d560ea997068115892d2f0bd7cf91c3,7/5/2023,1,4,4,684,684
42a0e188f5033bc65bf8d78622277c4e,65ebd984baa08be2dcd09ff15c254fdb,7/14/2023,1,19,19,2617,2617
42a0e188f5033bc65bf8d78622277c4e,0cc57d9daaa686e94f9ab541f3026121,7/18/2023,1,2,2,194,194
42a0e188f5033bc65bf8d78622277c4e,ee37a0ba58b50be32617d354a3103b51,7/13/2023,1,3,3,223,223
42a0e188f5033bc65bf8d78622277c4e,d30eea686dd9375430858468d5aa8824,7/10/2023,0,2,0,337,0
42a0e188f5033bc65bf8d78622277c4e,b75c7cbf7accdaea8a1a14781bb29870,7/16/2023,0,1,0,410,0
42a0e188f5033bc65bf8d78622277c4e,c24c65259d90ed4a19ab37b6fd6fe716,7/17/2023,0,10,0,1731,0
42a0e188f5033bc65bf8d78622277c4e,db01afba1fbd4cb3686884a7dfe125c9,7/14/2023,1,3,3,644,644
53e19f3dbb211f20b20b45668303c1b6,c7e043e0f743476582f79ba27ba3c51f,7/18/2023,1,3,3,39,39
42a0e188f5033bc65bf8d78622277c4e,3775e29ab7a50a69c73aad30f19661e4,7/11/2023,1,2,2,309,309
42a0e188f5033bc65bf8d78622277c4e,57eaf5659b0371dbef7bb6cee4a14e71,7/5/2023,1,2,2,90,90
42a0e188f5033bc65bf8d78622277c4e,bb25f17188f499220de29c84be3d7d5d,7/9/2023,0,1,0,88,0
42a0e188f5033bc65bf8d78622277c4e,29e8e5e3d6e474896c7209a893b0a6af,7/14/2023,0,1,0,157,0
42a0e188f5033bc65bf8d78622277c4e,9d678e20f4a45c137a0492034506d432,7/15/2023,1,9,9,1601,1601
42a0e188f5033bc65bf8d78622277c4e,edaab5209d66e9634a79a8f23fb55bab,7/7/2023,0,3,0,844,0
42a0e188f5033bc65bf8d78622277c4e,2e277351c5cfe6dd5bd87b2457a7e1eb,7/13/2023,1,4,4,1005,1005
42a0e188f5033bc65bf8d78622277c4e,b6871caaf03565202e4c3bafef2af7c6,7/18/2023,1,2,2,275,275
53e19f3dbb211f20b20b45668303c1b6,530b5dc58f1ad1eebf282a89c432c006,7/7/2023,1,4,4,88,88
42a0e188f5033bc65bf8d78622277c4e,3fabc5abf35c42206944ccc889328f3e,7/18/2023,0,3,0,369,0
42a0e188f5033bc65bf8d78622277c4e,a4680e47cdf0ef37aeb19717a9d1968c,7/6/2023,0,3,0,739,0
42a0e188f5033bc65bf8d78622277c4e,4e824a65fbd01f1708131bd247842688,7/6/2023,1,1,1,487,487
42a0e188f5033bc65bf8d78622277c4e,eae84b730dd8eb884077f713b0264850,7/15/2023,0,1,0,194,0
42a0e188f5033bc65bf8d78622277c4e,8b579a572c0623c19b828110915b3959,7/14/2023,1,1,1,326,326
42a0e188f5033bc65bf8d78622277c4e,42ae1544956fbe6e09242e6cd752444c,7/10/2023,0,6,0,709,0
42a0e188f5033bc65bf8d78622277c4e,db45f0cd6166195d80838817d4371660,7/6/2023,0,3,0,324,0
42a0e188f5033bc65bf8d78622277c4e,8014fe5a616ca4e0b4e334122a404adb,7/8/2023,1,1,1,111,111
42a0e188f5033bc65bf8d78622277c4e,fd519eb13005448a303df1089505a42b,7/15/2023,1,9,9,704,704
42a0e188f5033bc65bf8d78622277c4e,2e277351c5cfe6dd5bd87b2457a7e1eb,7/17/2023,0,1,0,314,0
42a0e188f5033bc65bf8d78622277c4e,6be39bc0f56a584c34705393e6fde8d9,7/18/2023,0,0,0,62,0
42a0e188f5033bc65bf8d78622277c4e,559c8bf461e7f622ce1caa97071337f1,7/6/2023,0,4,0,183,0
42a0e188f5033bc65bf8d78622277c4e,b32d54edfbef54504db682d7d6d5be8d,7/8/2023,0,6,0,690,0
42a0e188f5033bc65bf8d78622277c4e,ea6de4810826c67374a5d37eef4a4b78,7/17/2023,0,2,0,49,0
42a0e188f5033bc65bf8d78622277c4e,7f1d0baf6453ac77503dfa6000102c41,7/12/2023,0,2,0,58,0
42a0e188f5033bc65bf8d78622277c4e,b84d4a25bf24ce222ac5dd9086de8c65,7/13/2023,0,2,0,82,0
42a0e188f5033bc65bf8d78622277c4e,ab7ea17fa5084296d422820744b1e2cd,7/13/2023,1,3,3,906,906
42a0e188f5033bc65bf8d78622277c4e,6e822618c30449cfabec9b22a7de1425,7/10/2023,0,3,0,1063,0
42a0e188f5033bc65bf8d78622277c4e,5fb6bfa7b7d9a415d5f95d3951e2a35d,7/9/2023,1,50,50,7082,7082
