st_id,pr_sku_id,date,pr_sales_type_id,pr_sales_in_units,pr_promo_sales_in_units,pr_sales_in_rub,pr_promo_sales_in_rub
42a0e188f5033bc65bf8d78622277c4e,5aa2f6e00873f8c90b00cd15d670daa1,7/18/2023,0,4,0,295,0
c81e728d9d4c2f636f067f89cc14862c,f90206b56fb4d6ad8dd9ae7a862af9cc,7/18/2023,0,4,0,229,0
6364d3f0f495b6ab9dcf8d3b5c6e0b01,8f8735ac8b4195951bb460f925a16520,7/18/2023,0,11,0,108,0
c81e728d9d4c2f636f067f89cc14862c,1edb148e94ceddc5abaa91ad4814a737,7/18/2023,0,3,0,135,0
fa7cdfad1a5aaf8370ebeda47a1ff1c3,7d945116ed12c2807d081df6f666ba37,7/18/2023,0,2,0,318,0
16a5cdae362b8d27a1d8f8c7b78b4330,17f7c5578fad009505989442352a308a,7/18/2023,0,4,0,519,0
f7e6c85504ce6e82442c770f7c8606f0,877996cf018bb84247377fc00ac9ec5d,7/18/2023,1,2,2,476,476
16a5cdae362b8d27a1d8f8c7b78b4330,8f8735ac8b4195951bb460f925a16520,7/18/2023,0,13,0,112,0
42a0e188f5033bc65bf8d78622277c4e,029905c5542302a69b170c91e96f5a14,7/18/2023,0,2,0,219,0
f7e6c85504ce6e82442c770f7c8606f0,ca4c5a242147c851906ae4fd6320a4d4,7/18/2023,0,3,0,90,0
f7e6c85504ce6e82442c770f7c8606f0,f0580396750412f37b903e0551537804,7/18/2023,1,1,1,87,87
16a5cdae362b8d27a1d8f8c7b78b4330,ec9ed18ae2a13fef709964af24bb60e6,7/18/2023,0,3,0,630,0
1ecfb463472ec9115b10c292ef8bc986,e5d8973ae435ab52c7592094dada817e,7/18/2023,1,2,2,79,79
c81e728d9d4c2f636f067f89cc14862c,bf5f373eede102c71bf77874c78bdc59,7/18/2023,0,2,0,561,0
16a5cdae362b8d27a1d8f8c7b78b4330,6129aab35aa6ad445191910f1d4c4aef,7/18/2023,0,0,0,69,0
16a5cdae362b8d27a1d8f8c7b78b4330,cbaca3167c8aa7c3352f2e7be9300285,7/18/2023,1,1,1,134,134
6364d3f0f495b6ab9dcf8d3b5c6e0b01,7f33b30d0e1fe6fcc2a84ed8e1bac73a,7/18/2023,0,0,0,51,0
fa7cdfad1a5aaf8370ebeda47a1ff1c3,bcbfdbeb825bb39dbb125503fd3840ed,7/18/2023,0,1,0,33,0
c81e728d9d4c2f636f067f89cc14862c,8b6d47ed609b1f6651a79cb6210b63f8,7/18/2023,1,1,1,63,63
16a5cdae362b8d27a1d8f8c7b78b4330,27a79eaf8d74a68777299f3a514ea51f,7/18/2023,1,3,3,774,774
42a0e188f5033bc65bf8d78622277c4e,b0c43793e79b65eae859453fb8b58f6b,7/18/2023,0,1,0,168,0
16a5cdae362b8d27a1d8f8c7b78b4330,4a421463135a0f5e506740db32d16b97,7/18/2023,0,1,0,293,0
c81e728d9d4c2f636f067f89cc14862c,58c6ef4b2db5bbeacec39affc0c2bf28,7/18/2023,0,3,0,122,0
fa7cdfad1a5aaf8370ebeda47a1ff1c3,9a3e6ab0f0e9396f7af956fe6e45b407,7/18/2023,0,4,0,131,0
c81e728d9d4c2f636f067f89cc14862c,c24c65259d90ed4a19ab37b6fd6fe716,7/18/2023,1,2,2,458,458
c81e728d9d4c2f636f067f89cc14862c,ec64491cf0ea4b8a3cde5e351582631d,7/18/2023,0,7,0,78,0
16a5cdae362b8d27a1d8f8c7b78b4330,225de5ef23fbfa96f02a8e1e8626ab66,7/18/2023,0,2,0,453,0
16a5cdae362b8d27a1d8f8c7b78b4330,421b0ea70ab7fd681ae63a8f12695199,7/18/2023,0,3,0,812,0
42a0e188f5033bc65bf8d78622277c4e,0cc57d9daaa686e94f9ab541f3026121,7/18/2023,1,2,2,194,194
c81e728d9d4c2f636f067f89cc14862c,6e822618c30449cfabec9b22a7de1425,7/18/2023,0,2,0,734,0
f7e6c85504ce6e82442c770f7c8606f0,a1f93a1aeb02759147d69276c70217db,7/18/2023,0,2,0,575,0
53e19f3dbb211f20b20b45668303c1b6,c7e043e0f743476582f79ba27ba3c51f,7/18/2023,1,3,3,39,39
16a5cdae362b8d27a1d8f8c7b78b4330,5ca106c323e777ec8b42dbbab099932c,7/18/2023,1,1,1,50,50
c81e728d9d4c2f636f067f89cc14862c,00661699f543753ec7e911a64b9fd2f6,7/18/2023,0,1,0,338,0
16a5cdae362b8d27a1d8f8c7b78b4330,d5285a5b153c43fa0028b6fb6965a3f0,7/18/2023,1,1,1,208,208
f7e6c85504ce6e82442c770f7c8606f0,4678e046e53270a420f8e4df6797ca24,7/18/2023,1,3,3,81,81
42a0e188f5033bc65bf8d78622277c4e,b6871caaf03565202e4c3bafef2af7c6,7/18/2023,1,2,2,275,275
42a0e188f5033bc65bf8d78622277c4e,3fabc5abf35c42206944ccc889328f3e,7/18/2023,0,3,0,369,0
fa7cdfad1a5aaf8370ebeda47a1ff1c3,050a8120e2a3b8751df8752fcc0323ef,7/18/2023,1,1,1,158,158
6364d3f0f495b6ab9dcf8d3b5c6e0b01,9d4d76311ae2c0cbc4b1eb53c447bed7,7/18/2023,1,17,17,692,692
16a5cdae362b8d27a1d8f8c7b78b4330,b88d7891d85f7f5ed9a7ad619af776d2,7/18/2023,0,11,0,884,0
